YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	0.557	0.557	0.557
1999	 5	 1	 2	0.608	0.608	0.608
1999	 5	 1	 3	0.599	0.599	0.599
1999	 5	 1	 4	0.577	0.577	0.577
1999	 5	 1	 5	0.627	0.627	0.627
1999	 5	 1	 6	0.657	0.657	0.657
1999	 5	 1	 7	0.685	0.685	0.685
1999	 5	 1	 8	0.731	0.731	0.731
1999	 5	 1	 9	0.834	0.834	0.834
1999	 5	 1	10	0.861	0.861	0.861
1999	 5	 1	11	0.811	0.811	0.811
1999	 5	 1	12	0.793	0.793	0.793
1999	 5	 1	13	0.882	0.882	0.882
1999	 5	 1	14	0.879	0.879	0.879
1999	 5	 1	15	0.831	0.831	0.831
1999	 5	 1	16	0.862	0.862	0.862
1999	 5	 1	17	0.928	0.928	0.928
1999	 5	 1	18	0.981	0.981	0.981
1999	 5	 1	19	0.964	0.964	0.964
1999	 5	 1	20	0.938	0.938	0.938
1999	 5	 1	21	0.853	0.853	0.853
1999	 5	 1	22	0.789	0.789	0.789
1999	 5	 1	23	0.740	0.740	0.740
1999	 5	 1	24	0.738	0.738	0.738
1999	 5	 2	 1	0.727	0.727	0.727
1999	 5	 2	 2	0.651	0.651	0.651
1999	 5	 2	 3	0.644	0.644	0.644
1999	 5	 2	 4	0.630	0.630	0.630
1999	 5	 2	 5	0.627	0.627	0.627
1999	 5	 2	 6	0.628	0.628	0.628
1999	 5	 2	 7	0.630	0.630	0.630
1999	 5	 2	 8	0.687	0.687	0.687
1999	 5	 2	 9	0.732	0.732	0.732
1999	 5	 2	10	0.743	0.743	0.743
1999	 5	 2	11	0.729	0.729	0.729
1999	 5	 2	12	0.732	0.732	0.732
1999	 5	 2	13	0.716	0.716	0.716
1999	 5	 2	14	0.679	0.679	0.679
1999	 5	 2	15	0.695	0.695	0.695
1999	 5	 2	16	0.716	0.716	0.716
1999	 5	 2	17	0.747	0.747	0.747
1999	 5	 2	18	0.767	0.767	0.767
1999	 5	 2	19	0.763	0.763	0.763
1999	 5	 2	20	0.710	0.710	0.710
1999	 5	 2	21	0.646	0.646	0.646
1999	 5	 2	22	0.666	0.666	0.666
1999	 5	 2	23	0.652	0.652	0.652
1999	 5	 2	24	0.621	0.621	0.621
1999	 5	 3	 1	0.636	0.636	0.636
1999	 5	 3	 2	0.605	0.605	0.605
1999	 5	 3	 3	0.552	0.552	0.552
1999	 5	 3	 4	0.563	0.563	0.563
1999	 5	 3	 5	0.566	0.566	0.566
1999	 5	 3	 6	0.554	0.554	0.554
1999	 5	 3	 7	0.585	0.585	0.585
1999	 5	 3	 8	0.604	0.604	0.604
1999	 5	 3	 9	0.728	0.728	0.728
1999	 5	 3	10	0.749	0.749	0.749
1999	 5	 3	11	0.780	0.780	0.780
1999	 5	 3	12	0.819	0.819	0.819
1999	 5	 3	13	0.858	0.858	0.858
1999	 5	 3	14	0.887	0.887	0.887
1999	 5	 3	15	0.960	0.960	0.960
1999	 5	 3	16	1.000	1.000	1.000
1999	 5	 3	17	1.000	1.000	1.000
1999	 5	 3	18	1.000	1.000	1.000
1999	 5	 3	19	0.980	0.980	0.980
1999	 5	 3	20	0.849	0.849	0.849
1999	 5	 3	21	0.787	0.787	0.787
1999	 5	 3	22	0.756	0.756	0.756
1999	 5	 3	23	0.640	0.640	0.640
1999	 5	 3	24	0.492	0.492	0.492
1999	 5	 4	 1	0.405	0.405	0.405
1999	 5	 4	 2	0.472	0.472	0.472
1999	 5	 4	 3	0.491	0.491	0.491
1999	 5	 4	 4	0.474	0.474	0.474
1999	 5	 4	 5	0.494	0.494	0.494
1999	 5	 4	 6	0.516	0.516	0.516
1999	 5	 4	 7	0.535	0.535	0.535
1999	 5	 4	 8	0.612	0.612	0.612
1999	 5	 4	 9	0.669	0.669	0.669
1999	 5	 4	10	0.685	0.685	0.685
1999	 5	 4	11	0.656	0.656	0.656
1999	 5	 4	12	0.655	0.655	0.655
1999	 5	 4	13	0.638	0.638	0.638
1999	 5	 4	14	0.635	0.635	0.635
1999	 5	 4	15	0.662	0.662	0.662
1999	 5	 4	16	0.649	0.649	0.649
1999	 5	 4	17	0.621	0.621	0.621
1999	 5	 4	18	0.595	0.595	0.595
1999	 5	 4	19	0.589	0.589	0.589
1999	 5	 4	20	0.596	0.596	0.596
1999	 5	 4	21	0.569	0.569	0.569
1999	 5	 4	22	0.527	0.527	0.527
1999	 5	 4	23	0.450	0.450	0.450
1999	 5	 4	24	0.418	0.418	0.418
1999	 5	 5	 1	0.334	0.334	0.334
1999	 5	 5	 2	0.314	0.314	0.314
1999	 5	 5	 3	0.343	0.343	0.343
1999	 5	 5	 4	0.352	0.352	0.352
1999	 5	 5	 5	0.389	0.389	0.389
1999	 5	 5	 6	0.440	0.440	0.440
1999	 5	 5	 7	0.484	0.484	0.484
1999	 5	 5	 8	0.553	0.553	0.553
1999	 5	 5	 9	0.601	0.601	0.601
1999	 5	 5	10	0.664	0.664	0.664
1999	 5	 5	11	0.686	0.686	0.686
1999	 5	 5	12	0.635	0.635	0.635
1999	 5	 5	13	0.617	0.617	0.617
1999	 5	 5	14	0.615	0.615	0.615
1999	 5	 5	15	0.624	0.624	0.624
1999	 5	 5	16	0.618	0.618	0.618
1999	 5	 5	17	0.635	0.635	0.635
1999	 5	 5	18	0.658	0.658	0.658
1999	 5	 5	19	0.642	0.642	0.642
1999	 5	 5	20	0.603	0.603	0.603
1999	 5	 5	21	0.595	0.595	0.595
1999	 5	 5	22	0.608	0.608	0.608
1999	 5	 5	23	0.621	0.621	0.621
1999	 5	 5	24	0.641	0.641	0.641
1999	 5	 6	 1	0.641	0.641	0.641
1999	 5	 6	 2	0.630	0.630	0.630
1999	 5	 6	 3	0.617	0.617	0.617
1999	 5	 6	 4	0.595	0.595	0.595
1999	 5	 6	 5	0.591	0.591	0.591
1999	 5	 6	 6	0.588	0.588	0.588
1999	 5	 6	 7	0.605	0.605	0.605
1999	 5	 6	 8	0.623	0.623	0.623
1999	 5	 6	 9	0.670	0.670	0.670
1999	 5	 6	10	0.703	0.703	0.703
1999	 5	 6	11	0.706	0.706	0.706
1999	 5	 6	12	0.700	0.700	0.700
1999	 5	 6	13	0.706	0.706	0.706
1999	 5	 6	14	0.736	0.736	0.736
1999	 5	 6	15	0.719	0.719	0.719
1999	 5	 6	16	0.753	0.753	0.753
1999	 5	 6	17	0.791	0.791	0.791
1999	 5	 6	18	0.823	0.823	0.823
1999	 5	 6	19	0.862	0.862	0.862
1999	 5	 6	20	0.858	0.858	0.858
1999	 5	 6	21	0.857	0.857	0.857
1999	 5	 6	22	0.831	0.831	0.831
1999	 5	 6	23	0.811	0.811	0.811
1999	 5	 6	24	0.774	0.774	0.774
1999	 5	 7	 1	0.784	0.784	0.784
1999	 5	 7	 2	0.802	0.802	0.802
1999	 5	 7	 3	0.778	0.778	0.778
1999	 5	 7	 4	0.776	0.776	0.776
1999	 5	 7	 5	0.791	0.791	0.791
1999	 5	 7	 6	0.802	0.802	0.802
1999	 5	 7	 7	0.838	0.838	0.838
1999	 5	 7	 8	0.909	0.909	0.909
1999	 5	 7	 9	0.955	0.955	0.955
1999	 5	 7	10	1.000	1.000	1.000
1999	 5	 7	11	1.000	1.000	1.000
1999	 5	 7	12	1.000	1.000	1.000
1999	 5	 7	13	1.000	1.000	1.000
1999	 5	 7	14	1.000	1.000	1.000
1999	 5	 7	15	1.000	1.000	1.000
1999	 5	 7	16	1.000	1.000	1.000
1999	 5	 7	17	1.000	1.000	1.000
1999	 5	 7	18	1.000	1.000	1.000
1999	 5	 7	19	1.000	1.000	1.000
1999	 5	 7	20	1.000	1.000	1.000
1999	 5	 7	21	1.000	1.000	1.000
1999	 5	 7	22	1.000	1.000	1.000
1999	 5	 7	23	1.000	1.000	1.000
1999	 5	 7	24	1.000	1.000	1.000
1999	 5	 8	 1	1.000	1.000	1.000
1999	 5	 8	 2	1.000	1.000	1.000
1999	 5	 8	 3	1.000	1.000	1.000
1999	 5	 8	 4	1.000	1.000	1.000
1999	 5	 8	 5	1.000	1.000	1.000
1999	 5	 8	 6	1.000	1.000	1.000
1999	 5	 8	 7	1.000	1.000	1.000
1999	 5	 8	 8	1.000	1.000	1.000
1999	 5	 8	 9	1.000	1.000	1.000
1999	 5	 8	10	1.000	1.000	1.000
1999	 5	 8	11	1.000	1.000	1.000
1999	 5	 8	12	1.000	1.000	1.000
1999	 5	 8	13	1.000	1.000	1.000
1999	 5	 8	14	1.000	1.000	1.000
1999	 5	 8	15	1.000	1.000	1.000
1999	 5	 8	16	1.000	1.000	1.000
1999	 5	 8	17	1.000	1.000	1.000
1999	 5	 8	18	1.000	1.000	1.000
1999	 5	 8	19	1.000	1.000	1.000
1999	 5	 8	20	1.000	1.000	1.000
1999	 5	 8	21	0.958	0.958	0.958
1999	 5	 8	22	0.890	0.890	0.890
1999	 5	 8	23	0.834	0.834	0.834
1999	 5	 8	24	0.815	0.815	0.815
1999	 5	 9	 1	0.782	0.782	0.782
1999	 5	 9	 2	0.732	0.732	0.732
1999	 5	 9	 3	0.716	0.716	0.716
1999	 5	 9	 4	0.706	0.706	0.706
1999	 5	 9	 5	0.697	0.697	0.697
1999	 5	 9	 6	0.708	0.708	0.708
1999	 5	 9	 7	0.736	0.736	0.736
1999	 5	 9	 8	0.773	0.773	0.773
1999	 5	 9	 9	0.809	0.809	0.809
1999	 5	 9	10	0.803	0.803	0.803
1999	 5	 9	11	0.826	0.826	0.826
1999	 5	 9	12	0.857	0.857	0.857
1999	 5	 9	13	0.854	0.854	0.854
1999	 5	 9	14	0.861	0.861	0.861
1999	 5	 9	15	0.870	0.870	0.870
