YY	MM	DD	HH	"1"	"2"	tot_average
nach_Exposition_korrigierte_Globalstrahlung_evapotranspiration
--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	0.00	0.00	0.00
1999	 5	 1	 2	0.00	0.00	0.00
1999	 5	 1	 3	0.00	0.00	0.00
1999	 5	 1	 4	0.00	0.00	0.00
1999	 5	 1	 5	36.81	35.16	36.27
1999	 5	 1	 6	147.40	126.82	140.59
1999	 5	 1	 7	308.24	292.14	302.92
1999	 5	 1	 8	465.33	453.00	461.25
1999	 5	 1	 9	599.87	591.86	597.22
1999	 5	 1	10	660.06	659.72	659.94
1999	 5	 1	11	590.07	591.14	590.43
1999	 5	 1	12	435.22	439.21	436.54
1999	 5	 1	13	447.03	447.02	447.03
1999	 5	 1	14	491.99	491.99	491.99
1999	 5	 1	15	423.19	432.59	426.30
1999	 5	 1	16	238.34	241.18	239.28
1999	 5	 1	17	149.64	151.73	150.33
1999	 5	 1	18	74.21	75.96	74.79
1999	 5	 1	19	22.96	24.23	23.38
1999	 5	 1	20	2.77	2.77	2.77
1999	 5	 1	21	0.00	0.00	0.00
1999	 5	 1	22	0.00	0.00	0.00
1999	 5	 1	23	0.00	0.00	0.00
1999	 5	 1	24	0.00	0.00	0.00
1999	 5	 2	 1	0.00	0.00	0.00
1999	 5	 2	 2	0.00	0.00	0.00
1999	 5	 2	 3	0.00	0.00	0.00
1999	 5	 2	 4	0.00	0.00	0.00
1999	 5	 2	 5	12.19	11.60	11.99
1999	 5	 2	 6	84.91	72.84	80.92
1999	 5	 2	 7	242.97	228.53	238.20
1999	 5	 2	 8	423.40	410.62	419.17
1999	 5	 2	 9	603.90	595.43	601.10
1999	 5	 2	10	693.36	691.20	692.65
1999	 5	 2	11	731.91	734.37	732.72
1999	 5	 2	12	660.51	665.43	662.14
1999	 5	 2	13	612.19	619.77	614.70
1999	 5	 2	14	511.09	516.93	513.02
1999	 5	 2	15	388.91	396.63	391.47
1999	 5	 2	16	242.81	247.37	244.32
1999	 5	 2	17	128.61	129.02	128.75
1999	 5	 2	18	74.73	76.57	75.34
1999	 5	 2	19	22.20	23.29	22.56
1999	 5	 2	20	0.00	0.00	0.00
1999	 5	 2	21	0.00	0.00	0.00
1999	 5	 2	22	0.00	0.00	0.00
1999	 5	 2	23	0.00	0.00	0.00
1999	 5	 2	24	0.00	0.00	0.00
1999	 5	 3	 1	0.00	0.00	0.00
1999	 5	 3	 2	0.00	0.00	0.00
1999	 5	 3	 3	0.00	0.00	0.00
1999	 5	 3	 4	0.00	0.00	0.00
1999	 5	 3	 5	32.04	30.62	31.57
1999	 5	 3	 6	106.90	93.34	102.42
1999	 5	 3	 7	238.52	225.06	234.07
1999	 5	 3	 8	394.47	383.34	390.79
1999	 5	 3	 9	484.04	483.71	483.93
1999	 5	 3	10	532.65	528.58	531.31
1999	 5	 3	11	405.57	409.74	406.95
1999	 5	 3	12	387.40	385.05	386.62
1999	 5	 3	13	544.87	539.51	543.10
1999	 5	 3	14	634.63	638.07	635.77
1999	 5	 3	15	546.51	554.66	549.21
1999	 5	 3	16	445.43	453.75	448.18
1999	 5	 3	17	313.41	323.23	316.65
1999	 5	 3	18	157.39	164.34	159.68
1999	 5	 3	19	37.43	40.33	38.39
1999	 5	 3	20	0.00	0.00	0.00
1999	 5	 3	21	0.00	0.00	0.00
1999	 5	 3	22	0.00	0.00	0.00
1999	 5	 3	23	0.00	0.00	0.00
1999	 5	 3	24	0.00	0.00	0.00
1999	 5	 4	 1	0.00	0.00	0.00
1999	 5	 4	 2	0.00	0.00	0.00
1999	 5	 4	 3	0.00	0.00	0.00
1999	 5	 4	 4	0.00	0.00	0.00
1999	 5	 4	 5	57.71	55.31	56.92
1999	 5	 4	 6	159.80	141.02	153.59
1999	 5	 4	 7	276.14	263.33	271.90
1999	 5	 4	 8	384.94	375.65	381.87
1999	 5	 4	 9	496.74	491.34	494.95
1999	 5	 4	10	560.10	559.23	559.81
1999	 5	 4	11	672.99	669.56	671.86
1999	 5	 4	12	674.90	682.00	677.25
1999	 5	 4	13	600.37	603.55	601.42
1999	 5	 4	14	559.84	564.69	561.45
1999	 5	 4	15	479.02	484.54	480.85
1999	 5	 4	16	363.47	368.99	365.30
1999	 5	 4	17	252.90	257.74	254.50
1999	 5	 4	18	125.96	131.25	127.71
1999	 5	 4	19	27.41	28.89	27.90
1999	 5	 4	20	2.77	2.77	2.77
1999	 5	 4	21	0.00	0.00	0.00
1999	 5	 4	22	0.00	0.00	0.00
1999	 5	 4	23	0.00	0.00	0.00
1999	 5	 4	24	0.00	0.00	0.00
1999	 5	 5	 1	0.00	0.00	0.00
1999	 5	 5	 2	0.00	0.00	0.00
1999	 5	 5	 3	0.00	0.00	0.00
1999	 5	 5	 4	0.00	0.00	0.00
1999	 5	 5	 5	30.43	29.22	30.03
1999	 5	 5	 6	79.42	70.35	76.42
1999	 5	 5	 7	156.07	151.23	154.47
1999	 5	 5	 8	255.25	251.41	253.98
1999	 5	 5	 9	416.76	410.14	414.57
1999	 5	 5	10	621.19	615.83	619.42
1999	 5	 5	11	688.93	691.73	689.85
1999	 5	 5	12	701.12	703.55	701.93
1999	 5	 5	13	688.63	694.44	690.55
1999	 5	 5	14	691.48	697.58	693.50
1999	 5	 5	15	640.33	653.34	644.63
1999	 5	 5	16	494.93	507.59	499.12
1999	 5	 5	17	315.47	325.98	318.95
1999	 5	 5	18	130.56	136.72	132.60
1999	 5	 5	19	22.99	24.11	23.36
1999	 5	 5	20	2.77	2.77	2.77
1999	 5	 5	21	0.00	0.00	0.00
1999	 5	 5	22	0.00	0.00	0.00
1999	 5	 5	23	0.00	0.00	0.00
1999	 5	 5	24	0.00	0.00	0.00
1999	 5	 6	 1	0.00	0.00	0.00
1999	 5	 6	 2	0.00	0.00	0.00
1999	 5	 6	 3	0.00	0.00	0.00
1999	 5	 6	 4	0.00	0.00	0.00
1999	 5	 6	 5	34.41	33.01	33.95
1999	 5	 6	 6	138.66	121.94	133.13
1999	 5	 6	 7	310.56	294.52	305.26
1999	 5	 6	 8	456.52	445.50	452.88
1999	 5	 6	 9	472.21	471.80	472.08
1999	 5	 6	10	396.16	397.89	396.73
1999	 5	 6	11	417.83	415.03	416.91
1999	 5	 6	12	415.41	418.22	416.34
