YY	MM	DD	HH	"1"	"2"	tot_average
Bodenspeicher in 1/1 je Zone soil_model
--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	0.99968	1.00000	0.99979
1999	 5	 1	 2	0.99969	0.99995	0.99978
1999	 5	 1	 3	0.99969	0.99977	0.99972
1999	 5	 1	 4	0.99968	0.99960	0.99966
1999	 5	 1	 5	0.99967	0.99944	0.99959
1999	 5	 1	 6	0.99964	0.99918	0.99949
1999	 5	 1	 7	0.99956	0.99866	0.99926
1999	 5	 1	 8	0.99939	0.99798	0.99892
1999	 5	 1	 9	0.99848	0.99713	0.99803
1999	 5	 1	10	0.99717	0.99634	0.99689
1999	 5	 1	11	0.99573	0.99550	0.99565
1999	 5	 1	12	0.99430	0.99461	0.99440
1999	 5	 1	13	0.99299	0.99370	0.99323
1999	 5	 1	14	0.99197	0.99302	0.99232
1999	 5	 1	15	0.99086	0.99228	0.99133
1999	 5	 1	16	0.98988	0.99154	0.99043
1999	 5	 1	17	0.98945	0.99120	0.99003
1999	 5	 1	18	0.98936	0.99116	0.98996
1999	 5	 1	19	0.98954	0.99137	0.99015
1999	 5	 1	20	0.98976	0.99160	0.99037
1999	 5	 1	21	0.98993	0.99180	0.99055
1999	 5	 1	22	0.99002	0.99194	0.99066
1999	 5	 1	23	0.99005	0.99200	0.99070
1999	 5	 1	24	0.98995	0.99198	0.99062
1999	 5	 2	 1	0.98986	0.99196	0.99055
1999	 5	 2	 2	0.98976	0.99193	0.99048
1999	 5	 2	 3	0.98956	0.99183	0.99031
1999	 5	 2	 4	0.98936	0.99173	0.99014
1999	 5	 2	 5	0.98914	0.99160	0.98995
1999	 5	 2	 6	0.98879	0.99136	0.98964
1999	 5	 2	 7	0.98815	0.99077	0.98902
1999	 5	 2	 8	0.98717	0.99000	0.98811
1999	 5	 2	 9	0.98603	0.98918	0.98707
1999	 5	 2	10	0.98467	0.98827	0.98586
1999	 5	 2	11	0.98313	0.98721	0.98448
1999	 5	 2	12	0.98143	0.98601	0.98295
1999	 5	 2	13	0.97991	0.98489	0.98155
1999	 5	 2	14	0.97837	0.98370	0.98014
1999	 5	 2	15	0.97704	0.98256	0.97887
1999	 5	 2	16	0.97606	0.98163	0.97790
1999	 5	 2	17	0.97551	0.98098	0.97732
1999	 5	 2	18	0.97518	0.98050	0.97694
1999	 5	 2	19	0.97502	0.98017	0.97672
1999	 5	 2	20	0.97502	0.97991	0.97663
1999	 5	 2	21	0.97501	0.97975	0.97658
1999	 5	 2	22	0.97506	0.97967	0.97658
1999	 5	 2	23	0.97511	0.97960	0.97660
1999	 5	 2	24	0.97514	0.97951	0.97659
1999	 5	 3	 1	0.97568	0.97938	0.97691
1999	 5	 3	 2	0.97563	0.97925	0.97682
1999	 5	 3	 3	0.97552	0.97908	0.97670
1999	 5	 3	 4	0.97536	0.97887	0.97652
1999	 5	 3	 5	0.97517	0.97863	0.97631
1999	 5	 3	 6	0.97466	0.97817	0.97582
1999	 5	 3	 7	0.97379	0.97721	0.97492
1999	 5	 3	 8	0.97257	0.97605	0.97372
1999	 5	 3	 9	0.97085	0.97459	0.97209
1999	 5	 3	10	0.96926	0.97327	0.97058
1999	 5	 3	11	0.96756	0.97184	0.96898
