YY	MM	DD	HH	"1"	"2"	tot_average
Drainspeicher in mm je Zone soil_model
--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	220.11598	134.86104	191.92316
1999	 5	 1	 2	220.09154	134.91295	191.92397
1999	 5	 1	 3	220.06686	134.95900	191.92268
1999	 5	 1	 4	220.04213	135.00009	191.91972
1999	 5	 1	 5	220.01740	135.03671	191.91527
1999	 5	 1	 6	219.99268	135.06929	191.90950
1999	 5	 1	 7	219.96796	135.09830	191.90254
1999	 5	 1	 8	219.94319	135.12407	191.89450
1999	 5	 1	 9	219.91847	135.14694	191.88551
1999	 5	 1	10	219.89374	135.16739	191.87572
1999	 5	 1	11	219.86894	135.18546	191.86510
1999	 5	 1	12	219.84412	135.20135	191.85373
1999	 5	 1	13	219.81923	135.21535	191.84171
1999	 5	 1	14	219.79439	135.22762	191.82915
1999	 5	 1	15	219.76953	135.23820	191.81601
1999	 5	 1	16	219.74469	135.24741	191.80243
1999	 5	 1	17	219.71982	135.25537	191.78842
1999	 5	 1	18	219.69496	135.26201	191.77397
1999	 5	 1	19	219.67012	135.26740	191.75912
1999	 5	 1	20	219.64525	135.27161	191.74387
1999	 5	 1	21	219.62036	135.27472	191.72824
1999	 5	 1	22	219.59543	135.27681	191.71225
1999	 5	 1	23	219.57048	135.27794	191.69592
1999	 5	 1	24	219.54552	135.27818	191.67929
1999	 5	 2	 1	219.52052	135.27777	191.66241
1999	 5	 2	 2	219.49550	135.27672	191.64532
1999	 5	 2	 3	219.47044	135.27490	191.62796
1999	 5	 2	 4	219.44537	135.27238	191.61035
1999	 5	 2	 5	219.42027	135.26920	191.59250
1999	 5	 2	 6	219.39516	135.26550	191.57446
1999	 5	 2	 7	219.37000	135.26126	191.55623
1999	 5	 2	 8	219.34482	135.25645	191.53778
1999	 5	 2	 9	219.31961	135.25111	191.51913
1999	 5	 2	10	219.29439	135.24524	191.50031
1999	 5	 2	11	219.26921	135.23889	191.48137
1999	 5	 2	12	219.24408	135.23227	191.46234
1999	 5	 2	13	219.21890	135.22519	191.44316
1999	 5	 2	14	219.19373	135.21770	191.42383
1999	 5	 2	15	219.16856	135.20981	191.40437
1999	 5	 2	16	219.14346	135.20152	191.38484
1999	 5	 2	17	219.11842	135.19284	191.36522
1999	 5	 2	18	219.09340	135.18381	191.34547
1999	 5	 2	19	219.06833	135.17441	191.32558
1999	 5	 2	20	219.04320	135.16466	191.30554
1999	 5	 2	21	219.01804	135.15463	191.28539
1999	 5	 2	22	218.99289	135.14453	191.26521
1999	 5	 2	23	218.96771	135.13432	191.24498
1999	 5	 2	24	218.94249	135.12379	191.22462
1999	 5	 3	 1	218.91721	135.11298	191.20413
1999	 5	 3	 2	218.89189	135.10187	191.18350
1999	 5	 3	 3	218.86650	135.09048	191.16275
1999	 5	 3	 4	218.84109	135.07884	191.14189
1999	 5	 3	 5	218.81572	135.06693	191.12096
1999	 5	 3	 6	218.79033	135.05479	191.09996
1999	 5	 3	 7	218.76489	135.04256	191.07889
1999	 5	 3	 8	218.73938	135.03009	191.05769
1999	 5	 3	 9	218.71382	135.01738	191.03639
1999	 5	 3	10	218.68823	135.00447	191.01498
1999	 5	 3	11	218.66269	134.99133	190.99355
1999	 5	 3	12	218.63713	134.97800	190.97203
1999	 5	 3	13	218.61156	134.96445	190.95042
1999	 5	 3	14	218.58592	134.95070	190.92873
1999	 5	 3	15	218.56021	134.93674	190.90691
1999	 5	 3	16	218.53444	134.92259	190.88498
1999	 5	 3	17	218.50867	134.90823	190.86299
1999	 5	 3	18	218.48288	134.89369	190.84091
1999	 5	 3	19	218.45706	134.87895	190.81876
1999	 5	 3	20	218.43123	134.86420	190.79659
1999	 5	 3	21	218.40535	134.84955	190.77441
1999	 5	 3	22	218.37941	134.83473	190.75217
1999	 5	 3	23	218.35347	134.81972	190.72983
1999	 5	 3	24	218.32744	134.80455	190.70740
1999	 5	 4	 1	218.30135	134.78920	190.68484
1999	 5	 4	 2	218.27518	134.77368	190.66220
1999	 5	 4	 3	218.24893	134.75800	190.63945
1999	 5	 4	 4	218.22263	134.74214	190.61659
1999	 5	 4	 5	218.19623	134.72618	190.59366
1999	 5	 4	 6	218.16977	134.71031	190.57069
1999	 5	 4	 7	218.14323	134.69431	190.54764
1999	 5	 4	 8	218.11661	134.67816	190.52449
1999	 5	 4	 9	218.08992	134.66197	190.50127
1999	 5	 4	10	218.06316	134.64571	190.47798
1999	 5	 4	11	218.03632	134.62929	190.45459
1999	 5	 4	12	218.00940	134.61275	190.43111
1999	 5	 4	13	217.98241	134.59624	190.40756
1999	 5	 4	14	217.95534	134.57968	190.38397
1999	 5	 4	15	217.92819	134.56305	190.36031
1999	 5	 4	16	217.90097	134.54631	190.33655
1999	 5	 4	17	217.87366	134.52943	190.31270
1999	 5	 4	18	217.84628	134.51247	190.28876
1999	 5	 4	19	217.81886	134.49550	190.26480
1999	 5	 4	20	217.79143	134.47839	190.24078
1999	 5	 4	21	217.76396	134.46117	190.21671
1999	 5	 4	22	217.73642	134.44382	190.19252
1999	 5	 4	23	217.70891	134.42635	190.16833
1999	 5	 4	24	217.68149	134.40874	190.14417
1999	 5	 5	 1	217.65399	134.39102	190.11990
1999	 5	 5	 2	217.62642	134.37317	190.09554
1999	 5	 5	 3	217.59877	134.35519	190.07109
1999	 5	 5	 4	217.57104	134.33710	190.04655
1999	 5	 5	 5	217.54324	134.31889	190.02193
1999	 5	 5	 6	217.51538	134.30057	189.99721
1999	 5	 5	 7	217.48750	134.28212	189.97246
1999	 5	 5	 8	217.45956	134.26358	189.94763
1999	 5	 5	 9	217.43169	134.24492	189.92279
1999	 5	 5	10	217.40381	134.22615	189.89792
1999	 5	 5	11	217.37589	134.20741	189.87305
1999	 5	 5	12	217.34801	134.18858	189.84814
1999	 5	 5	13	217.32008	134.16965	189.82320
1999	 5	 5	14	217.29208	134.15062	189.79817
1999	 5	 5	15	217.26405	134.13148	189.77309
1999	 5	 5	16	217.23598	134.11226	189.74794
1999	 5	 5	17	217.20784	134.09294	189.72270
1999	 5	 5	18	217.17963	134.07352	189.69740
1999	 5	 5	19	217.15134	134.05399	189.67201
1999	 5	 5	20	217.12299	134.03436	189.64655
1999	 5	 5	21	217.09456	134.01463	189.62100
1999	 5	 5	22	217.06610	133.99481	189.59538
1999	 5	 5	23	217.03766	133.97487	189.56976
1999	 5	 5	24	217.00916	133.95483	189.54407
1999	 5	 6	 1	216.98059	133.93471	189.51828
1999	 5	 6	 2	216.95197	133.91447	189.49243
1999	 5	 6	 3	216.92326	133.89415	189.46649
1999	 5	 6	 4	216.89456	133.87372	189.44054
1999	 5	 6	 5	216.86578	133.85320	189.41449
1999	 5	 6	 6	216.83702	133.83257	189.38841
1999	 5	 6	 7	216.80826	133.81186	189.36230
1999	 5	 6	 8	216.77942	133.79114	189.33617
1999	 5	 6	 9	216.75055	133.77039	189.30998
1999	 5	 6	10	216.72168	133.74954	189.28377
